Mal_id,Score,Genres,Themes,Demographics
6114,8.49,"['Drama','Suspense']","['Delinquents','Historical']","['Seinen']"
32182,8.48,"['Action','Comedy','Supernatural']","['Super Power']","[]"
42203,8.48,"['Drama','Fantasy','Suspense']","['Isekai','Psychological','Time Travel']","[]"
37379,8.48,"['Drama','Slice of Life','Sports']","['Love Polygon','School','Strategy Game']","['Josei']"
44087,8.47,"['Action','Comedy']","['Gag Humor','Historical','Parody','Samurai']","['Shounen']"
38040,8.47,"['Adventure','Comedy','Fantasy']","['Isekai','Parody','Reincarnation']","[]"
37208,8.47,"['Action','Adventure','Fantasy','Mystery','Supernatural']","['Historical','Mythology']","[]"
11981,8.46,"['Drama','Mystery','Suspense']","['Mahou Shoujo','Psychological']","[]"
10165,8.46,"['Comedy']","['Gag Humor','School']","['Shounen']"
31181,8.46,"['Comedy','Mystery','Supernatural']","['Vampire']","[]"
11577,8.46,"['Drama','Sci-Fi']","[]","[]"
36999,8.46,"['Comedy','Mystery','Supernatural']","['Vampire']","[]"
40787,8.46,"['Drama','Romance','Slice of Life']","['Visual Arts']","[]"
40059,8.45,"['Action','Adventure']","['Historical']","['Seinen']"
20583,8.45,"['Sports']","['School','Team Sports']","['Shounen']"
38450,8.45,"['Action','Fantasy','Mystery','Supernatural']","['Historical','Mythology']","[]"
36885,8.45,"['Comedy','Romance','Ecchi']","['Harem','Otaku Culture','School']","[]"
46095,8.45,"['Action','Sci-Fi','Suspense']","['Music','Time Travel']","[]"
45556,8.45,"['Action','Adventure','Comedy','Drama','Mystery']","['Martial Arts','Super Power']","[]"
392,8.45,"['Action','Comedy','Supernatural']","['Martial Arts','Mythology']","['Shounen']"
24687,8.44,"['Adventure','Fantasy','Mystery','Slice of Life','Supernatural']","['Adult Cast','Historical','Iyashikei']","['Seinen']"
34612,8.44,"['Comedy','Supernatural']","['Gag Humor','School']","['Shounen']"
21899,8.44,"['Action','Comedy','Sci-Fi']","['Gag Humor','Historical','Parody','Samurai']","['Shounen']"
26055,8.44,"['Action','Adventure','Drama','Supernatural']","[]","['Shounen']"
37105,8.43,"['Comedy']","[]","['Seinen']"
38889,8.43,"['Drama','Romance']","['Music','Performing Arts','School']","['Shounen']"
467,8.43,"['Action','Sci-Fi']","['Adult Cast','Detective','Mecha','Military']","['Seinen']"
2246,8.43,"['Fantasy','Horror','Mystery','Supernatural']","['Adult Cast','Historical','Mythology','Psychological']","['Seinen']"
33255,8.43,"['Comedy','Supernatural']","['Gag Humor','School']","['Shounen']"
5028,8.42,"['Comedy','Drama','Romance','Sports']","['Team Sports']","['Shounen']"
48653,8.42,"[]","['Music']","[]"
36538,8.41,"['Drama','Slice of Life','Supernatural']","['Iyashikei','Mythology']","['Shoujo']"
35851,8.41,"['Drama','Fantasy']","[]","[]"
25781,8.41,"['Action']","[]","['Shoujo']"
39741,8.41,"['Drama','Fantasy','Slice of Life']","[]","[]"
5205,8.41,"['Action','Mystery','Romance','Supernatural','Suspense']","[]","[]"
37965,8.41,"['Drama','Sports']","[]","[]"
14397,8.4,"['Drama','Slice of Life','Sports']","['Love Polygon','School','Strategy Game']","['Josei']"
5941,8.4,"['Drama','Romance','Sports']","['School','Team Sports']","['Shounen']"
32366,8.4,"['Comedy']","['Gag Humor','Parody']","[]"
35557,8.4,"['Action','Drama','Fantasy','Mystery']","['Anthropomorphic']","['Seinen']"
136,8.4,"['Action','Adventure','Fantasy']","[]","['Shounen']"
37999,8.4,"['Comedy']","['Psychological','Romantic Subtext','School']","['Seinen']"
36275,8.4,"['Drama','Slice of Life','Supernatural']","['Iyashikei','Mythology']","['Shoujo']"
39808,8.4,"['Slice of Life']","['CGDCT','Iyashikei']","['Seinen']"
39551,8.4,"['Action','Adventure','Comedy','Fantasy']","['Isekai','Mythology','Reincarnation']","[]"
40730,8.39,"['Action','Adventure','Drama','Supernatural']","['Historical']","[]"
31646,8.39,"['Drama','Slice of Life']","['Childcare','Iyashikei','Strategy Game']","['Seinen']"
22789,8.39,"['Slice of Life']","['Childcare','Iyashikei','Visual Arts']","[]"
41025,8.39,"['Adventure','Drama','Supernatural']","[]","['Shounen']"
49926,8.39,"['Action','Fantasy']","['Historical']","['Shounen']"
5,8.38,"['Action','Sci-Fi']","['Adult Cast','Space']","[]"
2251,8.38,"['Action','Comedy','Mystery','Supernatural']","['Historical','Organized Crime']","[]"
48661,8.38,"['Action','Adventure']","[]","['Shounen']"
30709,8.38,"['Comedy','Fantasy','Romance','Supernatural']","['Mythology']","['Shoujo']"
9260,8.38,"[]","['Vampire']","[]"
39247,8.38,"['Fantasy','Slice of Life']","[]","[]"
50380,8.38,"[]","['Music','Reincarnation']","[]"
10162,8.38,"['Slice of Life']","['Childcare','Iyashikei']","['Josei']"
11979,8.37,"['Drama','Suspense']","['Mahou Shoujo','Psychological']","[]"
39547,8.38,"['Comedy','Romance']","['Love Polygon','School']","[]"
39535,8.37,"['Drama','Fantasy','Ecchi']","['Isekai','Reincarnation']","[]"
39587,8.37,"['Drama','Fantasy','Suspense']","['Isekai','Psychological','Time Travel']","[]"
48736,8.37,"['Romance','Slice of Life']","['Otaku Culture','School']","['Seinen']"
47194,8.37,"['Mystery','Supernatural','Suspense']","[]","['Shounen']"
572,8.37,"['Adventure','Fantasy']","[]","[]"
10030,8.36,"['Comedy','Drama','Romance']","['Otaku Culture']","['Shounen']"
38883,8.36,"['Sports']","['School','Team Sports']","['Shounen']"
777,8.36,"['Action','Horror','Supernatural']","['Adult Cast','Gore','Military','Vampire']","['Seinen']"
44042,8.36,"['Comedy']","[]","[]"
9756,8.36,"['Drama','Suspense']","['Mahou Shoujo','Psychological']","[]"
13601,8.35,"['Action','Sci-Fi','Suspense']","['Adult Cast','Detective','Psychological']","[]"
6945,8.35,"['Action','Comedy','Sci-Fi']","['Historical','Parody']","[]"
39533,8.35,"['Boys Love','Drama','Romance','Slice of Life']","['Music']","[]"
42984,8.35,"['Fantasy']","['Music']","[]"
17389,8.35,"['Action']","['Historical','Military']","['Seinen']"
22535,8.35,"['Action','Horror','Sci-Fi']","['Gore','Psychological']","['Seinen']"
49909,8.35,"['Comedy','Slice of Life']","['Childcare']","['Seinen']"
37515,8.35,"['Adventure','Drama','Fantasy','Mystery','Sci-Fi']","[]","[]"
5081,8.34,"['Mystery','Romance','Supernatural']","['Vampire']","[]"
9617,8.34,"['Comedy','Slice of Life']","['CGDCT','Music']","[]"
7655,8.34,"['Comedy','Drama','Sports']","['Team Sports']","['Shounen']"
10937,8.34,"['Action','Sci-Fi']","['Mecha','Military','Space']","['Shounen']"
20651,8.34,"['Drama','Slice of Life','Supernatural']","['Iyashikei','Mythology']","['Shoujo']"
30,8.34,"['Action','Avant Garde','Drama','Sci-Fi']","['Mecha','Psychological']","[]"
5040,8.34,"['Sports']","['Adult Cast','Psychological','Team Sports']","['Seinen']"
2559,8.34,"['Adventure','Drama','Slice of Life']","['Historical']","[]"
12029,8.34,"['Action','Drama','Sci-Fi']","['Adult Cast','Military','Space']","[]"
5341,8.33,"['Adventure','Fantasy','Romance']","['Adult Cast','Historical']","[]"
338,8.33,"['Drama','Romance']","['Historical','Military']","['Shoujo']"
9989,8.33,"['Drama','Slice of Life','Supernatural']","[]","[]"
49701,8.33,"['Action','Fantasy']","['Martial Arts']","[]"
6594,8.33,"['Action','Adventure','Romance']","['Historical','Martial Arts']","[]"
5420,8.33,"['Drama','Fantasy','Slice of Life']","[]","[]"
31043,8.32,"['Mystery']","['Psychological','Time Travel']","['Seinen']"
3784,8.32,"['Action','Drama','Sci-Fi']","['Mecha','Psychological']","[]"
28701,8.32,"['Action','Fantasy','Supernatural']","[]","[]"
39112,8.32,"[]","['Music']","[]"
4081,8.32,"['Drama','Slice of Life','Supernatural']","['Iyashikei','Mythology']","['Shoujo']"
34534,8.32,"['Drama','Slice of Life','Supernatural']","['Iyashikei','Mythology']","['Shoujo']"
1210,8.32,"['Comedy','Drama','Romance']","['Otaku Culture','Psychological']","[]"
12531,8.32,"['Drama','Romance']","['Love Polygon','Music','School']","['Josei']"
38826,8.32,"['Drama','Fantasy','Romance','Slice of Life']","[]","[]"
41487,8.32,"['Action','Adventure','Comedy','Fantasy']","['Isekai','Mythology','Reincarnation']","[]"
37095,8.32,"['Drama','Fantasy','Slice of Life']","[]","[]"
11917,8.31,"['Comedy','Drama','Sports']","['Team Sports']","['Shounen']"
34240,8.31,"['Sci-Fi']","['Music']","[]"
44940,8.31,"['Action','Sci-Fi','Supernatural']","['School']","['Shounen']"
30346,8.31,"['Boys Love','Romance','Slice of Life']","['School']","[]"
10408,8.31,"['Drama','Romance','Supernatural']","[]","['Shoujo']"
137,8.31,"['Action','Adventure','Fantasy']","[]","['Shounen']"
185,8.31,"['Action','Drama']","['Racing']","['Seinen']"
24415,8.31,"['Sports']","['School','Team Sports']","['Shounen']"
1365,8.3,"['Adventure','Mystery']","['Detective']","['Shounen']"
30230,8.3,"['Sports']","['School','Team Sports']","['Shounen']"
38691,8.3,"['Adventure','Comedy','Sci-Fi']","['Survival','Time Travel']","['Shounen']"
31988,8.3,"['Drama']","['Music','Performing Arts','School']","[]"
486,8.3,"['Action','Adventure','Slice of Life']","['Iyashikei','Psychological']","[]"
45,8.3,"['Action','Adventure','Comedy','Romance']","['Historical','Samurai']","['Shounen']"
13125,8.3,"['Drama','Horror','Mystery','Sci-Fi','Supernatural']","['Psychological']","[]"
25835,8.3,"['Comedy','Drama']","['Adult Cast','Otaku Culture','Workplace']","[]"
10863,8.3,"['Comedy','Sci-Fi']","['Time Travel']","[]"
2685,8.29,"['Action','Adventure','Drama','Fantasy','Romance']","[]","['Shounen']"
2402,8.29,"['Action','Drama','Slice of Life','Sports']","['Combat Sports']","['Shounen']"
57,8.29,"['Comedy','Drama','Slice of Life']","['Music']","['Shounen']"
10087,8.29,"['Action','Fantasy','Supernatural']","[]","[]"
9735,8.29,"['Action','Comedy','Sci-Fi']","['Historical','Parody','Samurai']","['Shounen']"
28805,8.28,"['Adventure','Supernatural']","['Anthropomorphic','Isekai']","[]"
19363,8.28,"['Comedy','Slice of Life']","['School']","['Shounen']"
3002,8.28,"['Suspense']","['Adult Cast','High Stakes Game','Psychological','Strategy Game']","['Seinen']"
32937,8.28,"['Adventure','Comedy','Fantasy']","['Isekai','Parody','Reincarnation']","[]"
43,8.28,"['Action','Sci-Fi']","['Adult Cast','Detective','Mecha','Psychological']","['Seinen']"
1698,8.28,"['Comedy','Drama','Romance','Slice of Life']","['Adult Cast','Music']","['Josei']"
6675,8.28,"['Action','Sci-Fi']","['Adult Cast','Racing']","[]"
2418,8.28,"['Action','Adventure']","['Historical','Samurai']","[]"
759,8.28,"['Comedy','Drama']","['Childcare']","[]"
329,8.27,"['Drama','Romance','Sci-Fi']","['Adult Cast','Space','Workplace']","['Seinen']"
44055,8.27,"['Boys Love','Slice of Life']","['Otaku Culture','School']","[]"
37450,8.27,"['Comedy','Drama','Romance','Supernatural']","['School']","[]"
513,8.27,"['Adventure','Fantasy','Romance','Sci-Fi']","[]","[]"
34798,8.27,"['Slice of Life']","['CGDCT','Iyashikei']","[]"
264,8.27,"['Sports']","['Combat Sports']","['Shounen']"
40052,8.26,"['Action','Adventure','Mystery']","[]","[]"
139,8.26,"['Action','Adventure','Fantasy']","[]","['Shounen']"
22507,8.26,"[]","['Racing']","['Seinen']"
50631,8.26,"['Comedy']","['Romantic Subtext','School']","['Shounen']"
40211,8.26,"['Adventure','Drama','Fantasy']","[]","[]"
36990,8.26,"['Slice of Life']","['CGDCT','Iyashikei']","['Seinen']"
23327,8.26,"['Comedy','Sci-Fi']","['Adult Cast','Space']","[]"
31240,8.25,"['Drama','Fantasy','Suspense']","['Isekai','Psychological','Time Travel']","[]"
523,8.26,"['Adventure','Supernatural']","[]","[]"
1033,8.25,"['Action','Adventure','Drama','Fantasy','Romance']","['Historical','Showbiz']","[]"
32188,8.25,"['Sci-Fi','Suspense']","['Time Travel']","[]"
40784,8.25,"['Action','Comedy','Drama','Mystery']","['Martial Arts','Super Power']","[]"
11843,8.25,"['Comedy']","['Gag Humor','School']","[]"
38731,8.25,"['Sports']","['School','Team Sports']","['Shounen']"
10271,8.25,"['Suspense']","['Adult Cast','High Stakes Game','Psychological','Strategy Game']","['Seinen']"
